status_message,word_counts,char_counts
"Aquele momento que você fica🤔🤔🤔🤔
Seja bem criativo, e finalize a frase marcando uma Pessoa...Vamos lá🤗🤗🤗",16,89
"Vamos nos ver hoje? Vem pro nosso rodízio! É das 12h às 15h, incluindo entradas, rolls, sashimis, gukans e sushi à vontade. R$69 por pessoa.
Postando com #ExecutivoSRB e nos marcando, você leva um Nespresso grátis. 
📸@diegobastos3
#belém #pará #sushilovers #culinária #amazônia #sushi #gastronomia #cozinhaasiática #rodízio",46,277
"No Jack você saboreia uma Pink Limonade geladinha, para aliviar o calor!",12,61
"Nada melhor que um risotto para começar bem essa quinta-feira. Hoje esse delicioso arroz paraense ou qualquer um dos nossos risottos sai a R$29 pedindo pelo app Santé Delivery com cupom de desconto. Aproveita!

#Saudável #gostoso #saúde #fitness #comida #quefazbem #gastronomia #food #healthyfood #força #foco #fé",46,267
"Quinta das amigas é no Villa Aurora !!! Nesta primeira quinta de junho tem Baladeros, Betto e Naldo, dj Renato Sandres e o modão de Rick e Ramon. 🎈🎈🎁🎁🎉🎉Aniversariantes 🎈🎈🎁🎁🎉🎉 de junho tem direito a uma lista free válida até as 23:30h e entrando 10 pessoas da sua lista até este horário, você ganha uma garrafa de VODKA de presente 😱😱😱. Informações & reservas 98294-1815 !! O villa é o villa !!",72,322
"Quem disse que salada não satisfaz? As nossas saladas são do tamanho da sua fome, com ingredientes diferenciados e selecionados pela nossa cozinha descontaminada! A nossa Salada Caprese tem mix de folhas, tomates, abóbora assada no melaço de cana com pesto paraense. Estamos localizados na Tv. Dom Pedro I, 546.",50,262
"Quinta-feira já é quase sexta, né? Então vem saborear e se refrescar com os nossos deliciosos drinks essa noite. Conta pra gente, qual o seu favorito? 

#belém #pará #sushilovers #culinária #amazônia #drinksi #gastronomia",33,187
Que tiro foi esse😲😲😲,4,17
"Aqui no Iron é Happy Hour todos os dias, porque nossos clientes merecem umas horinhas de relaxamento depois do job! Fechou essa noite aqui no Iron hoje? Sim ou com cerveja? Portas abertas às 18h. 🤘

#beer #cerveja #litrão #pub #melhorescervejas #beerlovers #beeradict #cerveza #happyhour #cervejagelada #cervejao #cervejartesanal #cervejando #cervejaoliquidosagrado #IronBelem #PubBelem",52,334
"Nosso morango split é uma delícia e um dos mais pedidos! R$ 25,99",13,53
"Quer fazer parte da nossa família? Envie seu currículo 👆🏻
.
#FamigliaSicilia #Oportunidades #Temosvagas #vagasdeempregobelem",15,110
"Bolinhas de carne recheadas com queijo gorgonzola. 
Sério mesmo, é diliça!",11,63
"Venha aproveitar o variado cardápio do seu Dom Spetto. E agora com uma novidade: você escolhe uma das nossas opções de proteína no cardápio e se serve no buffet! 🤤 Isso tudo de segunda à Domingo, hein? Chama os amigos pra aproveitar essa delicia! 😋 #vemprodom #obomdodom #almoco #domspetto",49,241
"Almoce em um ambiente confortável, aconchegante, onde a comida é deliciosa, com preço justo e com atendimento de qualidade.",19,105
"Venha ao Capone saborear as nossas pizzas e pratos à la carte.

#estaçãodasdocas #caponeristorante #belém",15,90
"Nosso Filé com Molho de Vinho está esperando por você. Ambiente agradável e culinária deliciosa, você encontra no Vegas.",19,102
Garota de Berlim ao VIVO no #studiopubbelem ! #Supla,9,44
"Hoje é sábado.
Hoje é feriado.
E hoje também é dia da feijoada mais gostosa da cidade: a feijoada #ElPatron. 
Suculenta e completinha, com todos aqueles complementos que você ama! 😉
...
⏰ Das 12h às 16h. 📍Rua Antonio Barreto, 127.
#FeijoadaElPatron #Sábado #Almoço #Feriado",45,228
"Força (e fries) para as minas! 🙆‍♀😎 
⠀
Hoje é dia delas e aqui no SPOT tem OPEN FRIES o dia inteiro: mulheres que comprarem a 1ª porção de fries têm direito a um dia todinho de batata por conta da casa. Vem comemorar teu dia com a gente! 
⠀
Hoje vamos até 23hrs!",54,207
"A omelete de camarão com alho poró é aquele prato colorido e delicioso. Ao realizar seu pedido, você decide se prefere a omelete com ou sem gema. Funcionamento normal até às 22h!",32,147
Sábadão é dia de curtir aquela feijoada esperta! <3,9,43
Hoje temos uma desculpa para sair da dieta e correr pro Jack para comemorar! #diadagula #Jackgarage,16,84
"Que tal experimentar uma combinação regional que não tem como dar errado? Salmão + queijo do Marajó + pesto de jambu. 🐟
#belém #culinária #amazônia #sushi #gastronomia #cozinhaasiática #salmão #queijo #peixe #queijodomarajó #jambu",33,198
"Em meados de 2012, um grupo de amigos decidiu criar a banda Cornerstone com o objetivo executar e compartilhar a boa música dos ícones britânicos do indie rock: Arctic Monkeys. 
E no sábado, dia 09 de Junho, a gente te espera pra cantar parabéns e celebrar esses 06 anos de banda, com 2h de show da Cornerstone, muita animação e claro, a Heineken mais gelada da cidade! 
Estão prontos para enlouquecer ao som de “Dancing Shoes”, “Teddy Picker”, “Fluorescent Adolescent”, “Do I Wanna Now”, “Four Out Of Five” e muito mais? 
E não para por aí... A abertura dessa incrível festa fica por conta da Oasis Cover, recheando o aniversário com mais uma dose de clássicos britânicos. Você não vai ficar de fora dessa, né?

Lineup:
22h – DJ Junior Soares
00h – Oasis Cover – Gas Panic!
02h – Arctic Monkeys Cover – Cornerstone

Ingressos:
Antecipados: R$15
Na hora: R$20 o primeiro lote

Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.

Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.

Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",216,1075
Copinho de morango pra essa sexta-feira maravilhosa! 🍦🍓💗 #amelhordobrasil #cairu #amocairu #sorvetescairu,12,94
"Vamos combinar que a geração nascida nos anos 90 merece mais espaço na noite da cidade, né? Pensando nisso, o Studio Pub preparou um evento especial para essa galera que curte uma baladinha Indie pra gente relembrar a adolescência. Indie também é Rock!! No dia 09 de Março, as maiores bandas Indies farão sua noite mais feliz com os sucessos mais tocantes dessas feras! You only live once, então que tal Stop crying your heart out e vir acompanhar esses shows do Oasis, The Strokes e Arctic Monkeys cover junto com a gente? R U Mine na Sexta-feira? 
.
Ingressos:
Antecipados: R$15
.
Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.
.
Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.
.
Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",168,840
Sábado animado começa no Vegas. A festa inicia a partir das 14h30 com o pagode do grupo 100 Abuso e Velha Guarda Irreverência.,23,104
"Chegou a SEXTA e estamos em clima de aniversário. Venha comemorar esse niver conosco ouvindo muito rock regado a muito chopp!
PROMOS:
Chopp Amazon Beer em DOBRO das 17h às 21h. E após, R$ 6 a noite toda!
Caipirinha e SHOT em DOBRO da 00h a 01h.
Welcome Drink para as luluzinhas.
No comando do som: Nelinho Brasil e Nirvana Cover.",61,269
"No Buffet El Patron. Experimente nossas opções de massas, carnes, saladas e muito mais. Vem almoçar com a gente!🍽 #BuffetElPatron #Almoço #Delicioso",22,127
Sexta linda chegando e o salmão gostoso saindo com desconto! Hoje qualquer prato de salmão sai por apenas R$36 pedindo pelo nosso app Santé Delivery com cupom de desconto. Não esquece que tem taxa grátis para pedidos até 11h🍅🍽,39,188
"Salmão In Namoratto

Esse é um prato leve e delicioso. Já experimentou? Fica a dica para o próximo jantar no Famiglia.",21,97
"Comece a semana com nosso audacioso Edgar Poe. Você pode acompanhar com uma breja, ou se preferir escolha nossos drinks. 🤘

#beer #cerveja #ontap #pub #melhorescervejas
#beerlovers #beeradict #cerveza #happyhour #cervejagelada #cervejao #cervejartesanal #cervejando#cervejaoliquidosagrado #IronBelem #PubBelem",36,273
"Quinta tem playlist das Ousadas aqui no Ziggy no Laço da Rabiola! Elas vão mandar muito FUNK, POP, BREGA E HIP HOP pra dançar muito com os migxs. Bora que a entrada é free até 20h (depois fica R$ 10 a noite toda).",43,171
"Nesta sexta as mulheres que chegarem até meia noite, vão ganhar um drink lagoa azul por nossa conta. 
Lembrando que ainda tem aquele pagodinho top com Grupo Exatamente, Gamadinho e o Dj Betynho quebrando tudo nos intervalos.",37,187
Vamos assistir a final da copa verde juntos? #vemprodom em seguida teremos música ao vivo com Beto Meireles 😍,19,91
Remanso Mango direto da fábrica da Amazon Beer para avisar que ela tá na área e tá voltando pra casa. Podem mandar bala! 😎 🍻,25,100
"É amanhã! Ainda temos mesas disponíveis, traga sua rainha ou seu rei para comemorar conosco o dia dos namorados! 👑❤
.
Teremos as mesas habituais para os casais, decoração característica e um super show com MAGIC BOX. Reservas pelo direct e whatsapp no 99151.7063.",44,220
Um pouco da Hells Bar n Burgers😍😍,7,27
"E o sucesso continuar todas as sextas no Pagode da Diretoria.
Festival de pizza liberado para a galera das 22h até meia noite!
É só chegar cedo a aproveitar mais essa molezinha. 🍕😍🤤",33,149
"Se você nos permite, estamos chegando com o Pirarucu Defumado. 😌",11,54
Sabe o que tem hoje?! Mignon em promoção! A sugestão é escolher um acompanhamento saboroso: mousseline de mandioquinha. Sai apenas por 28 pedindo pelo app Santé Delivery na aba promoções! 📱🍅,31,160
Um brinde a melhor hamburgueria de Belém!🍻,7,36
Domingão é dia de curtir o som dos meninos do Vive Positiva aqui no Armazém com a entrada liberada até meia noite.,22,93
"É isso aí Hamburgueiros, em breve teremos Malino’s Ananindeua hein!!!
Pra você que mora nas proximidades , mande seu currículo para malinosburger@gmail.com",22,134
Já conhece o nosso sanduíche de filé no pão ciabatta integral?,11,52
"Que tal uma margherita essa noite?! ❤️ Hoje a nossa sai por R$24 na nossa promoção pedindo pelo app com o cupom ""promopizzasaudavel"" você ganha esse super desconto! 🍕📱Baixe o aplicativo do Santé na Google Play ou Apple Store.",39,187
"Sabe o que deixa sua quarta-feira melhor ainda? O Open Bar Night do Studio Pub! Cerveja à vontade das 18h às 23:30h, por apenas R$33,90!",25,112
"Dia 27 de abril vai acontecer uma super Festa no Villa Aurora, PAGODE PRA SE APAIXONAR, com Vavá & Marcio (ex Karametade) + I love Pagode + Nosso Tom, uma super estrutura, com o melhor do pagode, Vem se Apaixonar ! #VillaAurora #Abril #PagodePraSeApaixonar
Reservas:. 98869-5863 / 99321-2025
Vendas : App Sympla & ELLUS BOULEVARD (2 Piso)",57,282
Sexta feira + chopp gelado + rock com cover do The Strokes ❤️🍺,13,50
Domingão tem Grupo Avéra aqui no Armazém #estaçãobrahma,8,48
"Vai ter comemoração do aniversário do Kurt Cobain aqui no Studio Pub! O rei de Seattle estaria completando 51 anos este ano, mas Sexta não é dia de ficar triste, né? Para animar nossa festa, as bandas Nirvana e Pearl Jam Cover vão tocar os maiores sucessos do Grunge pra matar a saudade dos anos 90. Vai logo preparando a voz pra cantar junto que a gente te espera dia 23 aqui no Studio Pub!
Ingressos:
Antecipados: R$15

Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.

Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.

OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.

Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",140,701
"COÉ, RAPAZIADA 😏. Hoje a Roquerági tá com valores especiais de niver do Ziggy! Vai rolar show da Enfim Nós + discotecagem especialmente pra ti, rockeiro doido. BORA FICAR BONECO!

Roquerági Especial de Março com Enfim Nós",37,184
"Sexta o coro come no Pagode da Diretoria com Grupo Exatamente e Dj Betynho nos intervalos. 
As damas que chegarem até meia noite tem a entrada vip com direto a um drink super especial. 
Então não marca bobeira e vem curtir a melhor sexta da cidade aqui no Armazém.",49,214
Comemore seu aniversário na estação Brahma aos Domingos aqui no Armazém.,11,62
Agora temos novo horário do Almoço do Jack. A partir das 11h30 você aproveita o cardápio especial até as 16h somente de seg a sexta. No final de semana apenas nosso cardápio normal e delicioso de sempre de 18h às 00h. #Jacknoalmoço #Steak #Burger #Beer,45,208
"Deliciosamente saudável, o Bolo de Cenoura da Eti Mariqueti é feito com uma saborosa receita caseira que o torna ainda mais especial. Preparado com massa fofinha com sabor de cenoura e uma irresistível cobertura de chocolate. Experimente e comprove. 🤗",40,212
"Quem disse que no domingo não rola promoção?! Se liga!
.
Já pensou ganhar 1 INGRESSO PARA O NOSSO RODÍZIO DE PIZZA de hoje? A gente vai te dar essa chance!
.
Pra participar é fácil: Curte nossa pagina, curte essa publicação e marca 2 amigos nos comentários. Depois disso é só esperar o resultado que sai hoje às 17:30.
.
Boa sorte! 🍀
Prêmio válido apenas para o rodízio de pizza de hoje.",74,314
Uma boa opção de drink na Hells Bar n Burgers😍😍,10,38
"Sábado a noite é sinonimo de Clubinho. 
Vem curtir com a gente o melhor evento da cidade.",17,72
"Para tudo!!!!😎😎😎
Esse é o nosso tradicional CHESSE BURGER.🍔
E somente nesse fim de semana (sexta, sábado e domingo) estaremos com uma super PROMOÇÃO.

👀Fique de olho no Regulamento da Promô!😎

✔Basta você marcar um (01) amigo nesse Post, convida ele (a) pra ir ao BLACK, faz um print do convite e apresenta para nosso garçom no momento do pedido... na hora, seu amigo (a) ganha outro CHESSE BURGER por nossa conta.
🛑🛑Lembrando que, quem foi marcado e ganhou o Burger não poderá marcar outra pessoa nesse mesmo Post.
✔Isso mesmo, leva seu parceiro e deixa ele comer de forma gratuita por sua conta....
Estamos abertos a partir das 18:00hs
📍Localizados no Posto Redentor (Gentil com Alcindo Cacela)
🚘Com estacionamento privativo e segurança.
Não perde essa!!!!!!!",126,634
Aí sim eu digo que tu me ama! 😜😚,9,24
Diz xissssssssss,2,15
E o clima Junino chegou chegando #SãoJoao #EtiMariqueti #Brás #JoaoBalbi 🇧🇷😍,11,66
Desejamos uma doce semana a todos! Esperamos vocês em uma de nossas unidades. ❤️🍦,14,68
"QUERIDOOS, CHEGUEI rsrsrs. Sábado tem Insanos 90 no Ziggy Hostel Club pra curtir aquele rock doido da década mais insanamente inesquecível, a de 90. Vai rolar promoção de cerveja Bohemia e Pocket Show com mais noventeira no café. Vamooo0o0o0o0o 🤓",40,207
"Brownie de Chocolate Louis Armstrong
Bolo de chocolate com castanha, encharcado em calda de chocolate amargo, bem quente, contracenando com duas bolas de sorvete de creme. What a wonderful brownie!

Cardápio: roxybar.com.br

#bosquegraopara #roxybarbelém #belem",35,225
"Deu vontade de devorar essa delícia? A casa já está aberta, vem experimentar! 

#beer #cerveja #ontap #pub #melhorescervejas #beerlovers #beeradict #cerveza #happyhour #cervejagelada #cervejao #cervejartesanal #cervejando #IronBelem #PubBelem",28,213
Rolando o Open bar do Mormaço,6,24
Serviço é algo que reforçamos sempre com nossos colaboradores para sermos o melhor atendimento ao nosso público.,17,96
"Se não for de sanduíche vai de pizza saudável com massa integral, fininha e crocante, valorizando o recheio saudável e gostoso! 🍕❤🍅#Saudável #gostoso #saúde #fitness #comida #quefazbem #gastronomia #food #healthyfood #força #foco #fé",33,201
As tardes chuvosas pedem um chocolate quente típico da Eti Mariqueti. Então que tal dar essa aquecidinha com a gente? 🍨💕,21,100
"É hoje galera. Duas bandas e muita gente elegante, bonita e sincera. #feiraosemimposto #conjove #acp @conjoveacp #vemBD",17,103
"Promoção a noite toda no balde de Brahma nesta terça no Samba do Trabalhador. 
Lembrando que a entrada é liberada das 15h até as 17h!",25,108
":: Informações ::

- Point Aquários: Municipalidade, 897, esquina da Wandenkolk. ☎ 3223-1686 / 3085-7229.
- Point Veiga: Rua Veiga Cabral, nº 450, esquina com a Tv. Bom Jardim. ☎ 3225-4647 / 3230-3162.
- Point Boulevard: Av. Boulevard Castilhos França, nº 744, esquina com a Av. Presidente Vargas. ☎ 3212-2168.",50,260
"STUDIO PUB ROCK FESTIVAL - UK X US EDITION ! 

Corra para garantir seu ingresso do primeiro lote R$20,00 ! Ingressos limitadíssimos! 

Você encontra em todos os shoppings de Belém nas Lojas Touch, no Studio Pub e no site Sympla !

#studiopubbelem #studiopubrockfestival",43,222
"Pro momento ficar completo, só um vinho Remanso pra acompanhar.",10,54
"Nesse sábado, o nosso palco vai receber uma combinação lendária, uma das bandas considerada pela MTV, como a terceira melhor banda do milênio! Estamos falando deles: Linkin Park! Teremos um show especial com a banda Esquecidos - Linkin Park Cover, que irá tocar na íntegra o álbum Hybrid Theory e mais os sucessos que não podem ficar de fora do show deles! No mesmo dia ainda rola Pearl Jam Cover com a banda Still Alive em uma apresentação imperdível, tocando os maiores sucessos dessa banda incrível!

Ingressos:
Antecipados: R$15

22H: Dj Junior Soares
00H: Linkin Park Cover
02H: Pearl Jam Cover 

Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.

Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.

OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.

Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",163,855
E aí. Bora de Blues hoje? #4nosBD #naocobramosentradagente #happyhour,9,61
"Recebemos a visita da Pantera Negra😲
Versão Brasileira😶😶",8,49
"Esse prato é incrível. Estrogonofe de pupunha!

Prato 1
Arroz integral com jambu
Dhal de ervilha inteira com abóbora e macaxeira
Carne de panela com legumes
Falafel (bolinho de grão de bico)
Salada ■ Suco
Sobremesa: Pudim de iogurte com frutas

Prato 2
Arroz integral com jambu
Maniçoba vegetariana
Banana verde chips com gersal
Farofinha crocante
Salada ■ Suco
Sobremesa: Pudim de iogurte com frutas

Prato 3
Arroz integral com jambu
Dhal de ervilha inteira com abóbora e macaxeira
Estrogonofe de pupunha
Falafel (bolinho de grão de bico)
Salada ■ Suco
Sobremesa: Pudim de iogurte com frutas

Delivery 🏍
WhatsApp (91) 99804-3493*
Ou pelos fones: 3222-2272 / 3242-1724
*Pedidos somente das 8h às 11h da manhã (pedidos após esse horário não serão aceitos)

Endereço:
Travessa Padre Prudêncio, 166 - entre Manoel Barata e Ó de Almeida - Campina - Belém – PA
#vegetariano #comida #vegana #vegano #salada #belem#RestauranteGovinda #restauranteBelem",149,791
Nesta quinta tem promoção no balde de antarctica a noite toda.,11,52
"Quem provou essa margherita sabe que ela é especial! E hoje ela está em promoção! ❤ Sai por apenas R$24 se você pedir pelo nosso app Santé Delivery com o cupom ""promopizzasaudavel"" ! 🍕📱Baixe o aplicativo do Santé na Google Play ou Apple Store.",44,200
"Hoje tem promôô de pizza!!! A pizza grande sai pelo precinho da individual(somente para o Salão)😲😲
Não fique de fora dessa!!!🍕🍕
Lembrando tb que hoje a TAXA É ZERO! Delivery e IFOOD🆓
☎32690565/32591580
@blackburgerbelem #blackburgerbelem #pizza #burgers #hotdog #bacon
📍Av. Gentil com Alcindo Cacela, anexo ao Posto Shell Redentor",49,282
"Já garantiu o seu ingresso para o aniversário de 3 anos do Baile das Novinhas que vai rolar sexta 06/04 no Mormaço & que trará a atração nacional MC NANDO DK ( parabéns novinha tu ganhou o troféu do ano ) ? Então corre na Locus do Pátio & garanta logo o seu ingresso. Quem avisa, amigo é 👊",59,231
"Para os que querem manter a tradição, aquele Burger de Salmão, o nosso Black Fish 👏
Hoje a partir das 18hs ⏰
📍Av. Alcindo cacela, 2119-B, anexo ao Posto Shell Redentor",31,137
"Trago verdades!
Hoje tem Baile Das Novinhas com o palco 360°
Atrações:
✔ Mc Lili
✔ Mc Loro
✔ Mc Lore
➕ Djs Neto Vibe e Jesus
👉Lista entrada free até as 23:00
👉Lista de aniversariantes free até as 23:30

Inf/cardápio pelos Whatsapp:
981796272 ↔ 980437275",46,207
"Pensando no melhor para o seu público o @domspettooficial funcionará normalmente neste carnaval.
_
Hoje temos um voz e Violao com Wilson imperdível na nossa calçada, e pra quem quer aproveitar mais a noite de segunda-feira teremos na boate o @projetotriodeouro . Amanhã não abriremos a boate, mais nossa calçada terá a presença do músico Jr. Veloso tocando todas as marchinhas de carnaval 🎊🎉 #carnaval2018 #domspetto",66,351
"Essa é a Sexta que eu quero pra mim!🤘🏻🍺🍻🍔🍕🌭🍟🥓
E nesse findi nossa TAXA É ZEROOOO ( delivery e Ifood)
@blackburgerbelem #blackburger #sextou #burgao
☎️32690565/32591480
📍Av. Gentil com Alcindo Cacela.m anexo ao Posto Shell Redentor
🚘 Estacionamento privativo e gratuito",40,229
Não te esquece!,3,13
"Um olhar para nossa sobremesa,uma paixão, um desejo, afinal de contas é a HAPPY DAY📸",15,70
"Hoje, dia 06 de Março de 2018, completa 5 anos sem o vocalista da banda Charlie Brown Jr. e ícone do Rock brasileiro que serviu de inspiração para muita gente como cantor e compositor. O Studio Pub convida a todos para acompanhar a nossa homenagem ao Chorão com um set list exclusivo do ídolo hoje durante nosso Happy Hour.",59,265
"Você quer ganhar a famosa taça MEGA HAPPY DAY,e ainda levar mais 5 amigos juntos para devorar ela😲 😲
Para participar é simples .
Marque 5 amigos seus😃

Seguir a Hells Bar N Burgers Quanto mais pessoas você marcar,mais chances tem pra ganhar.
O sorteio será no HOJE 18/01 as 23horas,Bora😀😀😀
Depois você escolhe quando vai vir🤗🤗🤗
Você já reparou o tamanho dela😲😲😲",63,298
"Todo mundo de fantasia, cheios de alegria, pulando carnaval no meio do salão do Mormaço!
Nesta sexta 09/02 Baile de Carnaval do Mormaço🎉🎶🎉
Então fiquem ligados!
🚩Com nome na lista não paga entrada até as 23h.
🚩Lista de aniversários até as 23:30 pelo WhatsApp 98043-7275 ( comprovando ser aniversariante da semana ).
👉OPEN BAR DE CERVEJA ATÉ A MEIA-NOITE.
👉Fantasia completa não paga entrada a noite toda.
☡Atrações:
✔ The Morô
✔New Wave 

Sexta ainda tem folia!

Inf/lista pelo Whatsapp: 981796272

#VemSexta #Carnaval #Baile #Fantasia #Alegria #ReiMomo #Mormaço #VaiSerDemais #Vamos #BelemDoPara #SextasMormaco",92,516
"A Copa vem com tudo & o Mormaço estará de portas abertas neste domingo na estreia do Brasil na Copa para lhe receber com portaria liberada pra todo mundo até as 14h. E das 14h às 15h ingressos somente 10 reais. Telões e TVs, as bandas que todo mundo ama & a beira do rio mais famosa da cidade com palco novíssimo no deck. As cervejas mais baratas & geladas da cidade que só o Mormaço tem pra você 🍺🍺🍺",80,321
"MARCIUS BLUES BAND (DF) - Ao Vivo no Studio Pub 18/05/2018 22h

Marcius Cabral comemora em 2018 trinta anos dedicados ao Blues. Inicialmente autodidata, estudou posteriormente guitarra com Nelson Faria, Lula Galvão, Ricardo Silveira e Toninho Horta; canto lírico com o professor Adelermo Matos e canto coral com o maestro Lincoln Andrade.

Nascido em Belém do Pará, chegou a Brasília em 1995 e se apresentou em importantes casas de Blues da cidade e festivais de Jazz e Blues. Viajou por Estados Unidos, França, Inglaterra e muitos outros países apurando sua técnica de blues e cantou em casas noturnas dedicadas ao estilo musical norte americano. Em novembro de 2017 fez um dos shows mais aclamados do Festival Blues nos Olhos, em Olhos D’Água - Go com a sua Marcius Cabral Band e foi convidado a voltar no Festival República Blues #7 em Brasília, ao lado de artistas como Omar Coleman, Hermeto Pachoal e Blues Etílicos.

Atualmente produz com o artista plástico Ronaldo Lima o projeto Mestres do Blues, que une exposição de arte, show e a palestra História social do Blues, e percorre os palcos do Brasil com seu show.

O show será um passeio pelo repertório que ponteou os trinta anos de estrada que o artista percorre sempre dedicado ao Blues.

QUANDO? Sexta, 18/05
Confira a programação da noite: 
22:00h - Dj Junior Soares 
23:00h - Banda Onça Preta
00:00h - Marcius Blues Band

Couvert Artístico 10,00 

Reserva de mesas pelo whatsapp (91) 99161-3677",244,1204
E por que não presentear sua mãe com um Kit lindão do Meu Garoto? Na loja você encontra vários modelos e embalagens originais. Ela vai se surpreender! <3,28,126
Compre nas lojas Touch dos shoppings !,7,32
"Uma nova semana começa e junto com ela, nossa alimentação saudável também. Vem saborear nossos pratos nutritivos, que tal um escalope de filé, batata chips e arroz integral? Esperamos por vocês até às 22h sem intervalos.",36,185
